// INTRO
s	2	4.1
s	2	5.25
b	5	5.5	10
s	3	5.75
s	6	7.5
s	8	8.66
s	10	8.85
//
s	2	10.75
s	4	12
s	7	12.25
b	5	12.5	16.8
s	6	14.25
s	10	15.5
s	12	15.75
//
s	1	17.66
s	4	19
s	6	19.25
b	5	19.5	23.7
s	6	21
s	10	22.3
s	12	22.6
// Strings enter
s	10	24.1
s	11	24.4
s	12	24.6
s	16	25.2
s	14	25.5
s	13	25.5
s	13	25.7
s	12	25.7
s	12	26
s	11	26
b	4	27	28
b	1	28.5	29.5
// Repeat
s	6	31
s	8	31.3
s	10	31.5
s	14	32.1
s	9	32.3
s	8	32.5
s	7	33
s	6	34.5
s	6	35
s	5	35
s	5	35.2
s	4	35.2
s	1	36
s	16	37.8
s	14	38.1
s	8	38.4
s	8	38.5
s	8	38.6
s	8	38.7
s	8	38.8
s	8	38.9
s	8	39
s	8	39.1
s	8	39.2
s	8	39.3
s	8	39.4
s	8	39.5
s	8	39.6
s	8	39.7
s	8	39.8
s	8	39.9
s	8	40
s	8	40.1
s	8	40.2
s	8	40.3
s	8	40.4
s	6	41.6
s	6	41.7
s	6	41.8
s	6	41.9
s	6	42
s	6	42.1
s	6	42.2
s	6	42.3
s	6	42.4
s	6	42.5
s	6	42.6
s	6	42.7
s	6	42.8
s	6	42.9
s	8	43
s	8	43.1
s	8	43.2
s	8	43.3
s	8	43.4
s	8	43.5
s	8	43.6
s	8	43.7
s	8	43.8
s	8	43.9
s	8	44
s	8	44.1
s	8	44.2
s	8	44.3
s	8	44.4
s	8	44.5
s	8	45
s	8	45.1
s	8	45.2
s	8	45.3
s	8	45.4
s	8	45.5
s	8	45.6
s	8	45.7
s	8	45.8
s	8	45.9
s	8	46
s	6	46.5
