hello
s, 2, 0.5
s, 2, 1.5
s, 5, 1.75
s, 2.0, 3
s, 3.66, 6
s, 4.75, 8
s, 5.0, 10
s, 6.25, 5
s, 7.0, 1
s, 8.5, 4
s, 8.75, 7
s, 9.0, 5
s, 10.50, 6
s, 11.75, 10
s, 12.0, 12
s, 13.0, 5
s, 14.0, 1
s, 15.25, 4
s, 15.5, 6
s, 15.66, 5
s, 17.5, 6
s, 18.66, 10
s, 19, 12
s, 20, 5
s, 20.25, 10
s, 20.5, 11
s, 20.75, 12
s, 21.5, 16
s, 21.75, 14
s, 21.75, 13
s, 22.0, 13
s, 22.0, 12
s, 22.33, 12
s, 22.33, 11
s, 23.75, 4
s, 24.25, 4
s, 24.5, 1
s, 25.25, 1
s, 27.25, 6
s, 27.5, 8
s, 27.75, 10
s, 28.25, 14
s, 28.5, 9
s, 28.75, 8
s, 29.25, 7
s, 30.75, 6
s, 31.25, 6
s, 31.25, 5
s, 31.5, 5
s, 31.5, 4
s, 32.25, 1
s, 34.25, 16
s, 34.5, 14
s, 34.75, 8
s, 34.85, 8
s, 34.95, 8
s, 35.05, 8
s, 35.15, 8
s, 35.25, 8
s, 35.35, 8
s, 35.45, 8
s, 35.55, 8
s, 35.65, 8
s, 35.75, 8
s, 35.85, 8
s, 35.95, 8
s, 36.05, 8
s, 38.0, 6
s, 38.1, 6
s, 38.2, 6
s, 38.3, 6
s, 38.4, 6
s, 38.5, 6
s, 38.6, 6
s, 38.7, 6
s, 38.8, 6
s, 38.9, 6
s, 39.0, 6
s, 39.5, 8
s, 39.6, 8
s, 39.7, 8
s, 39.8, 8
s, 39.9, 8
s, 40, 8
