s	2	0.5
s	2	1.5
s	5	1.75
s	3	2
s	6	3.66
s	8	4.75
s	10	5
s	5	6.25
s	1	7
s	4	8.5
s	7	8.75
s	5	9
s	6	10.5
s	10	11.75
s	12	12
s	5	13
s	1	14
s	4	15.25
s	6	15.5
s	5	15.66
s	6	17.5
s	10	18.66
s	12	19
s	5	20
s	10	20.25
s	11	20.5
s	12	20.75
s	16	21.5
s	14	21.75
s	13	21.75
s	13	22
s	12	22
s	12	22.33
s	11	22.33
s	4	23.75
s	4	24.25
s	1	24.5
s	1	25.25
s	6	27.25
s	8	27.5
s	10	27.75
s	14	28.25
s	9	28.5
s	8	28.75
s	7	29.25
s	6	30.75
s	6	31.25
s	5	31.25
s	5	31.5
s	4	31.5
s	1	32.25
s	16	34.25
s	14	34.5
s	8	34.75
s	8	34.85
s	8	34.95
s	8	35.05
s	8	35.15
s	8	35.25
s	8	35.35
s	8	35.45
s	8	35.55
s	8	35.65
s	8	35.75
s	8	35.85
s	8	35.95
s	8	36.05
s	6	38
s	6	38.1
s	6	38.2
s	6	38.3
s	6	38.4
s	6	38.5
s	6	38.6
s	6	38.7
s	6	38.8
s	6	38.9
s	6	39
s	8	39.5
s	8	39.6
s	8	39.7
s	8	39.8
s	8	39.9
s	8	40
